device,dtype,dist,levy_alpha,dim,size,algo,iter,sample_id,batch_time_ms,batch_time_ms_std,sample_time_ms,sample_time_ms_std,orthogonality_error,polar_error
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,1,0,0.10552001185715199,0.008515860172249697,0.026380002964287996,0.0021289650430624243,0.9431374073028564,0.8403282761573792
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,1,1,0.10552001185715199,0.008515860172249697,0.026380002964287996,0.0021289650430624243,0.9252464771270752,0.809434175491333
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,1,2,0.10552001185715199,0.008515860172249697,0.026380002964287996,0.0021289650430624243,0.8847438097000122,0.7412850260734558
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,1,3,0.10552001185715199,0.008515860172249697,0.026380002964287996,0.0021289650430624243,0.8951206803321838,0.7646642327308655
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,2,0,0.13340753503143787,0.007704041243692626,0.03335188375785947,0.0019260103109231565,0.7687749266624451,0.619734525680542
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,2,1,0.13340753503143787,0.007704041243692626,0.03335188375785947,0.0019260103109231565,0.715397298336029,0.5687749981880188
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,2,2,0.13340753503143787,0.007704041243692626,0.03335188375785947,0.0019260103109231565,0.6174582242965698,0.4737982153892517
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,2,3,0.13340753503143787,0.007704041243692626,0.03335188375785947,0.0019260103109231565,0.6524890065193176,0.5086652040481567
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,3,0,0.16552256420254707,0.006271152524208305,0.04138064105063677,0.0015677881310520762,0.518490731716156,0.37703731656074524
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,3,1,0.16552256420254707,0.006271152524208305,0.04138064105063677,0.0015677881310520762,0.4962071478366852,0.35328036546707153
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,3,2,0.16552256420254707,0.006271152524208305,0.04138064105063677,0.0015677881310520762,0.444428414106369,0.30482205748558044
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,3,3,0.16552256420254707,0.006271152524208305,0.04138064105063677,0.0015677881310520762,0.4691634774208069,0.3295745253562927
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,4,0,0.19535742467269301,0.006183627331008822,0.048839356168173254,0.0015459068327522054,0.4131401777267456,0.2632482945919037
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,4,1,0.19535742467269301,0.006183627331008822,0.048839356168173254,0.0015459068327522054,0.38819700479507446,0.2514726221561432
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,4,2,0.19535742467269301,0.006183627331008822,0.048839356168173254,0.0015459068327522054,0.37042006850242615,0.2292194962501526
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,4,3,0.19535742467269301,0.006183627331008822,0.048839356168173254,0.0015459068327522054,0.3744261860847473,0.23977118730545044
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,5,0,0.22879504831507802,0.008695651422359785,0.057198762078769505,0.002173912855589946,0.3337998390197754,0.20377227663993835
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,5,1,0.22879504831507802,0.008695651422359785,0.057198762078769505,0.002173912855589946,0.3640100359916687,0.21523375809192657
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,5,2,0.22879504831507802,0.008695651422359785,0.057198762078769505,0.002173912855589946,0.34690994024276733,0.2005845010280609
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Muon,5,3,0.22879504831507802,0.008695651422359785,0.057198762078769505,0.002173912855589946,0.34784212708473206,0.22051797807216644
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,1,0,0.10335951810702682,0.006479162862223401,0.025839879526756704,0.0016197907155558503,0.9531366229057312,0.8625887632369995
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,1,1,0.10335951810702682,0.006479162862223401,0.025839879526756704,0.0016197907155558503,0.9433656930923462,0.8371674418449402
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,1,2,0.10335951810702682,0.006479162862223401,0.025839879526756704,0.0016197907155558503,0.9128457307815552,0.7784645557403564
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,1,3,0.10335951810702682,0.006479162862223401,0.025839879526756704,0.0016197907155558503,0.9200171828269958,0.7977937459945679
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,2,0,0.1342249452136457,0.01103543268938149,0.033556236303411424,0.0027588581723453727,0.8397335410118103,0.6976458430290222
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,2,1,0.1342249452136457,0.01103543268938149,0.033556236303411424,0.0027588581723453727,0.79668790102005,0.6504075527191162
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,2,2,0.1342249452136457,0.01103543268938149,0.033556236303411424,0.0027588581723453727,0.6915415525436401,0.5499042272567749
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,2,3,0.1342249452136457,0.01103543268938149,0.033556236303411424,0.0027588581723453727,0.7370108366012573,0.5906774997711182
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,3,0,0.157332222443074,0.010508361199837373,0.0393330556107685,0.0026270902999593433,0.5420879125595093,0.4164886474609375
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,3,1,0.157332222443074,0.010508361199837373,0.0393330556107685,0.0026270902999593433,0.49091586470603943,0.37617531418800354
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,3,2,0.157332222443074,0.010508361199837373,0.0393330556107685,0.0026270902999593433,0.40607377886772156,0.307346373796463
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,3,3,0.157332222443074,0.010508361199837373,0.0393330556107685,0.0026270902999593433,0.4319078028202057,0.3324190378189087
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,4,0,0.18416246166452765,0.006274663841380444,0.046040615416131914,0.001568665960345111,0.2852288782596588,0.20978040993213654
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,4,1,0.18416246166452765,0.006274663841380444,0.046040615416131914,0.001568665960345111,0.25699758529663086,0.1968398094177246
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,4,2,0.18416246166452765,0.006274663841380444,0.046040615416131914,0.001568665960345111,0.20487050712108612,0.15413546562194824
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,4,3,0.18416246166452765,0.006274663841380444,0.046040615416131914,0.001568665960345111,0.23483505845069885,0.18117575347423553
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,5,0,0.2090999623760581,0.008164361944511757,0.052274990594014525,0.0020410904861279393,0.14411409199237823,0.11513753980398178
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,5,1,0.2090999623760581,0.008164361944511757,0.052274990594014525,0.0020410904861279393,0.13887009024620056,0.09901196509599686
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,5,2,0.2090999623760581,0.008164361944511757,0.052274990594014525,0.0020410904861279393,0.10031494498252869,0.06575489789247513
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,Dion,5,3,0.2090999623760581,0.008164361944511757,0.052274990594014525,0.0020410904861279393,0.1365094780921936,0.12533806264400482
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,1,0,0.08341716602444649,0.008704984808570335,0.020854291506111622,0.0021762462021425837,0.6417461633682251,0.508654773235321
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,1,1,0.08341716602444649,0.008704984808570335,0.020854291506111622,0.0021762462021425837,0.625922679901123,0.4967408776283264
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,1,2,0.08341716602444649,0.008704984808570335,0.020854291506111622,0.0021762462021425837,0.6006304621696472,0.47258979082107544
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,1,3,0.08341716602444649,0.008704984808570335,0.020854291506111622,0.0021762462021425837,0.6218414306640625,0.49090978503227234
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,2,0,0.1065076794475317,0.006058600606347471,0.026626919861882925,0.0015146501515868678,0.4091123044490814,0.3189455568790436
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,2,1,0.1065076794475317,0.006058600606347471,0.026626919861882925,0.0015146501515868678,0.3993278741836548,0.31624916195869446
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,2,2,0.1065076794475317,0.006058600606347471,0.026626919861882925,0.0015146501515868678,0.384086549282074,0.29927483201026917
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,2,3,0.1065076794475317,0.006058600606347471,0.026626919861882925,0.0015146501515868678,0.39435264468193054,0.3145450949668884
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,3,0,0.12569298269227147,0.011111636729684552,0.03142324567306787,0.002777909182421138,0.20580798387527466,0.18270079791545868
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,3,1,0.12569298269227147,0.011111636729684552,0.03142324567306787,0.002777909182421138,0.21995435655117035,0.19543787837028503
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,3,2,0.12569298269227147,0.011111636729684552,0.03142324567306787,0.002777909182421138,0.2004701793193817,0.1710195541381836
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,3,3,0.12569298269227147,0.011111636729684552,0.03142324567306787,0.002777909182421138,0.21532653272151947,0.19192618131637573
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,4,0,0.14515244401991367,0.012917438459813494,0.03628811100497842,0.0032293596149533736,0.1301157921552658,0.14295974373817444
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,4,1,0.14515244401991367,0.012917438459813494,0.03628811100497842,0.0032293596149533736,0.11589882522821426,0.13134793937206268
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,4,2,0.14515244401991367,0.012917438459813494,0.03628811100497842,0.0032293596149533736,0.10495845973491669,0.10635416209697723
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,4,3,0.14515244401991367,0.012917438459813494,0.03628811100497842,0.0032293596149533736,0.133261039853096,0.1572817862033844
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,5,0,0.1673224614933133,0.016378477465283616,0.04183061537332833,0.004094619366320904,0.06827989965677261,0.10655568540096283
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,5,1,0.1673224614933133,0.016378477465283616,0.04183061537332833,0.004094619366320904,0.04668984189629555,0.11037754267454147
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,5,2,0.1673224614933133,0.016378477465283616,0.04183061537332833,0.004094619366320904,0.04798705503344536,0.08501558750867844
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(64, 64)",64,AOLxDion,5,3,0.1673224614933133,0.016378477465283616,0.04183061537332833,0.004094619366320904,0.12922346591949463,0.15111447870731354
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,1,0,0.1138051156885922,0.0123355732604372,0.02845127892214805,0.0030838933151093,0.9581659436225891,0.8662771582603455
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,1,1,0.1138051156885922,0.0123355732604372,0.02845127892214805,0.0030838933151093,0.9479694366455078,0.8366264700889587
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,1,2,0.1138051156885922,0.0123355732604372,0.02845127892214805,0.0030838933151093,0.9360628724098206,0.8165162205696106
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,1,3,0.1138051156885922,0.0123355732604372,0.02845127892214805,0.0030838933151093,0.9524552226066589,0.8560835123062134
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,2,0,0.14476996148005128,0.009300936178889293,0.03619249037001282,0.0023252340447223233,0.8127899765968323,0.6672338843345642
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,2,1,0.14476996148005128,0.009300936178889293,0.03619249037001282,0.0023252340447223233,0.7445299029350281,0.5967104434967041
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,2,2,0.14476996148005128,0.009300936178889293,0.03619249037001282,0.0023252340447223233,0.7186989188194275,0.5708509683609009
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,2,3,0.14476996148005128,0.009300936178889293,0.03619249037001282,0.0023252340447223233,0.7931413054466248,0.6476224064826965
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,3,0,0.18356245709583163,0.014798433373775418,0.04589061427395791,0.0036996083434438546,0.5619974732398987,0.4195633828639984
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,3,1,0.18356245709583163,0.014798433373775418,0.04589061427395791,0.0036996083434438546,0.5104547739028931,0.3709910213947296
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,3,2,0.18356245709583163,0.014798433373775418,0.04589061427395791,0.0036996083434438546,0.4940524399280548,0.35602661967277527
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,3,3,0.18356245709583163,0.014798433373775418,0.04589061427395791,0.0036996083434438546,0.5459843277931213,0.4051375985145569
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,4,0,0.21171505795791745,0.007084213597851763,0.05292876448947936,0.0017710533994629407,0.41805538535118103,0.2785279154777527
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,4,1,0.21171505795791745,0.007084213597851763,0.05292876448947936,0.0017710533994629407,0.40647780895233154,0.26344287395477295
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,4,2,0.21171505795791745,0.007084213597851763,0.05292876448947936,0.0017710533994629407,0.39813682436943054,0.2567552328109741
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,4,3,0.21171505795791745,0.007084213597851763,0.05292876448947936,0.0017710533994629407,0.4199892580509186,0.2785709500312805
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,5,0,0.24191499687731266,0.0076930428824174765,0.060478749219328165,0.0019232607206043691,0.3556462228298187,0.21645814180374146
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,5,1,0.24191499687731266,0.0076930428824174765,0.060478749219328165,0.0019232607206043691,0.3522637188434601,0.20850056409835815
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,5,2,0.24191499687731266,0.0076930428824174765,0.060478749219328165,0.0019232607206043691,0.34602090716362,0.20693296194076538
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Muon,5,3,0.24191499687731266,0.0076930428824174765,0.060478749219328165,0.0019232607206043691,0.3540706932544708,0.211504727602005
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,1,0,0.12330996105447412,0.010320194804920406,0.03082749026361853,0.0025800487012301015,0.9676883220672607,0.8863086104393005
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,1,1,0.12330996105447412,0.010320194804920406,0.03082749026361853,0.0025800487012301015,0.9601083993911743,0.8614525198936462
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,1,2,0.12330996105447412,0.010320194804920406,0.03082749026361853,0.0025800487012301015,0.9528594613075256,0.8446074724197388
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,1,3,0.12330996105447412,0.010320194804920406,0.03082749026361853,0.0025800487012301015,0.9627825021743774,0.8772969245910645
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,2,0,0.15261746011674404,0.006922787485572024,0.03815436502918601,0.001730696871393006,0.8732793927192688,0.7400494813919067
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,2,1,0.15261746011674404,0.006922787485572024,0.03815436502918601,0.001730696871393006,0.8292571902275085,0.6811781525611877
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,2,2,0.15261746011674404,0.006922787485572024,0.03815436502918601,0.001730696871393006,0.7989965081214905,0.6530712246894836
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,2,3,0.15261746011674404,0.006922787485572024,0.03815436502918601,0.001730696871393006,0.861101508140564,0.7235508561134338
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,3,0,0.1785283093340695,0.007733698207053716,0.04463207733351737,0.001933424551763429,0.5933734178543091,0.4642278254032135
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,3,1,0.1785283093340695,0.007733698207053716,0.04463207733351737,0.001933424551763429,0.5210484266281128,0.401988685131073
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,3,2,0.1785283093340695,0.007733698207053716,0.04463207733351737,0.001933424551763429,0.4973297417163849,0.3830324709415436
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,3,3,0.1785283093340695,0.007733698207053716,0.04463207733351737,0.001933424551763429,0.5744892954826355,0.4470568597316742
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,4,0,0.2103400183841586,0.006381363434793052,0.05258500459603965,0.001595340858698263,0.3289581835269928,0.24683605134487152
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,4,1,0.2103400183841586,0.006381363434793052,0.05258500459603965,0.001595340858698263,0.2807040214538574,0.2116275280714035
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,4,2,0.2103400183841586,0.006381363434793052,0.05258500459603965,0.001595340858698263,0.268499493598938,0.20278050005435944
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,4,3,0.2103400183841586,0.006381363434793052,0.05258500459603965,0.001595340858698263,0.31589069962501526,0.23934051394462585
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,5,0,0.2336750039830804,0.008727988710673994,0.0584187509957701,0.0021819971776684986,0.17517560720443726,0.1291428804397583
cuda:0 (NVIDIA L40S),bfloat16,levy,1.5,"(128, 128)",128,Dion,5,1,0.2336750039830804,0.008727988710673994,0.0584187509957701,0.0021819971776684986,0.1481747031211853,0.10599745810031891
